Timestamp,PT1,PT2,LC,LC_VOLT,Packet Delimiter
1231339,-0.13,7.48,-0.40,0.00,-42069
1231370,-0.13,7.48,-0.40,0.00,-42069
1231400,-0.13,7.48,-0.40,0.00,-42069
1231430,-0.13,7.48,-0.40,0.00,-42069
1231461,1.09,7.48,-0.40,0.00,-42069
1231492,-2.55,8.69,-0.40,0.00,-42069
1231522,-0.13,7.48,-0.40,0.00,-42069
1231553,-2.55,8.69,-0.40,0.00,-42069
1231614,-0.13,7.48,-0.40,0.00,-42069
1231645,-0.13,8.69,-0.40,0.00,-42069
1231736,-1.34,8.69,-0.40,0.00,-42069
1231767,-0.13,6.27,-0.40,0.00,-42069
1231798,1.09,7.48,-0.40,0.00,-42069
1231890,-0.13,8.69,-0.40,0.00,-42069
1232012,1.09,6.27,-0.40,0.00,-42069
1232043,1.09,7.48,-0.40,0.00,-42069
1232073,-0.13,7.48,-0.40,0.00,-42069
1232104,-0.13,8.69,-0.40,0.00,-42069
1232135,-2.55,8.69,-0.40,0.00,-42069
1232165,-0.13,7.48,-0.40,0.00,-42069
1232195,1.09,7.48,-0.40,0.00,-42069
1232226,-0.13,7.48,-0.40,0.00,-42069
1232318,-0.13,7.48,-0.40,0.00,-42069
1232441,-0.13,7.48,-0.40,0.00,-42069
1232471,-0.13,7.48,-0.40,0.00,-42069
1232501,-0.13,8.69,-0.40,0.00,-42069
1232532,-0.13,5.06,-0.40,0.00,-42069
1232563,-1.34,8.69,-0.40,0.00,-42069
1232593,-0.13,7.48,-0.40,0.00,-42069
1232686,-0.13,7.48,-0.40,0.00,-42069
1232777,1.09,7.48,-0.40,0.00,-42069
1232807,1.09,6.27,-0.40,0.00,-42069
1232838,1.09,7.48,-0.40,0.00,-42069
1232869,-0.13,8.69,-0.40,0.00,-42069
1232900,-0.13,7.48,-0.40,0.00,-42069
1232930,-3.77,8.69,-0.40,0.00,-42069
1232961,-0.13,6.27,-0.40,0.00,-42069
1232991,-0.13,7.48,-0.40,0.00,-42069
1233021,-0.13,6.27,-0.40,0.00,-42069
1233114,-0.13,7.48,-0.40,0.00,-42069
1233206,1.09,7.48,-0.40,0.00,-42069
1233266,-0.13,5.06,-0.40,0.00,-42069
1233297,-0.13,7.48,-0.40,0.00,-42069
1233358,1.09,6.27,-0.40,0.00,-42069
1233389,-0.13,7.48,-0.40,0.00,-42069
1233420,-2.55,7.48,-0.40,0.00,-42069
1233511,-0.13,7.48,-0.40,0.00,-42069
1233603,-3.77,8.69,-0.40,0.00,-42069
1233634,-0.13,7.48,-0.40,0.00,-42069
1233665,-2.55,8.69,-0.40,0.00,-42069
1233695,-1.34,5.06,-0.40,0.00,-42069
1233726,-0.13,7.48,-0.40,0.00,-42069
1233757,-0.13,3.85,-0.40,0.00,-42069
1233786,-1.34,7.48,-0.40,0.00,-42069
1233817,1.09,7.48,-0.40,0.00,-42069
1233909,-0.13,8.69,-0.40,0.00,-42069
